roi,group,PC1,PC2,PC3,PC4,PC5
1,1,-0.1649344785417516,-1.54726765820061,-0.4289178943102458,1.6127226461622943,-0.38256158219861985
2,1,-0.6831342198103424,-1.043482057725182,-0.7866642105821045,-0.0904101623085989,-0.019288863110192345
3,1,0.1220361490345284,-1.9223318618229994,1.0389295939509293,1.4753317064722342,-1.5100908915524438
4,1,0.29681415855056975,0.4695445323212136,2.4249600692869295,-0.40688818528128534,0.39475786933987367
5,1,0.5938075126747555,-1.755419730585752,1.126992990235685,2.0181587280728515,1.2533269346971754
6,1,-0.6927969027515839,-0.8709891059536872,-0.7917418806774539,-0.014018207299741531,-0.31295599524640494
7,1,-0.2496181049157407,-1.4559147935626595,0.8548425179821083,-0.7883016549835715,1.1302022531748834
8,1,-0.756799568188769,-1.1339729986021927,-0.558063445761398,-0.5165697542542991,-0.3512752914648106
9,1,-0.7110864514081089,0.8294573227009874,-1.1184907914131297,0.04912951281630434,0.14863352940233882
10,1,-0.6290862899284495,0.6166371161560517,-0.4253353781344294,-0.3007960877343136,-0.3573550265414974
11,1,-0.5669165193480876,-0.6573372662303362,-0.038431393718249565,-0.5844426959267415,0.24694407413570102
12,1,-0.8419953254696224,0.5515783136301406,-1.9388304519587152,0.29431338068996815,0.854372074336837
13,1,-0.7323452434462028,-0.9791974909410767,-0.3816406483512977,-0.677034992404759,-0.14235499980486963
14,1,-0.024752654446369964,-1.073553426112318,1.0145087939938888,-0.529011405216285,2.145385114358109
15,1,-0.8116945441547077,-0.48844141026945265,-1.0373096078201436,-0.3377228771424732,0.1422324317299719
16,1,-0.8328706059326596,-0.8550518913343426,-0.676327946868248,-0.6219677334771415,-0.3541709884895205
17,1,-0.6654887585400843,0.2859821350728228,-0.6303556032654832,-0.26013495609620463,-0.0035997202431840426
18,1,-0.6672464542000055,0.7398637934347543,-0.6696471832096723,-0.2015878531116216,-0.3000039291713733
19,1,0.036187376634067236,2.8578398585899416,1.089570066152713,0.0651105018330449,0.04065051224369631
20,1,-0.5397724617210542,-0.8427295664647578,0.5820554784161993,-0.9197876843729046,-0.43709994301806104
21,1,-0.4005372213806588,0.9752832111735228,1.302517037299391,-0.9870276033326885,-2.0935586481320088
22,1,-0.6522542238308627,-0.260716037490301,-0.4348362818450572,-0.40921752094692077,0.1530198356533399
23,1,-0.05641962820872448,1.5098926790544747,0.5911108650570843,0.09737204021162049,0.948939117705682
24,1,-0.5001522516084579,0.5167216216398595,-0.556723355159569,0.10569298623717599,0.41571111648985615
25,1,-0.7985859294593635,-1.0071144658141207,-0.260381797693517,-0.833201277519297,-0.7122749596779621
26,1,-0.3344803637888755,1.9860364509868609,-0.07743985014757074,0.2233110560020627,-0.08117850089213957
27,2,11.500130355945984,-0.133367378347976,-0.7541454319174591,-0.4486290755100772,-0.14598166366562387
28,1,-0.052821813095966355,-0.07036937184444603,-0.6533473911878226,2.287672369932359,-0.5719141875626349
29,1,0.198464203441928,-1.1927082427755924,2.118344681353022,0.0545407995958755,-0.5179819843960316
30,1,-0.43017848751593674,0.8572962079626044,-0.2581364932343751,-0.09880051929752065,0.47322746090502893
31,1,0.048528745410550446,5.0938315113545665,0.33293494352798997,0.7421945181906531,-0.05375514900511501
