roi,group,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
1,3,-0.2695627853686439,-0.3727859776773943,0.6864533433464985,-1.4023042240892736,-1.6323367622387146,-0.6830462671865408,-0.020391605877791593,-0.6110428531484686,0.08986071207852041
2,3,0.11115604025363132,1.765139263858172,0.07772497241976849,-0.7128932982854608,-0.6645674443825592,-1.1034439980305593,-0.18851324448561088,-0.039859369801512265,0.5384730434314252
3,3,-0.27040651389130327,2.3849606122393188,1.8315988393271565,-1.922372188475496,-0.041087524721925645,-1.0812062869729537,0.4175050754592908,-0.25524297319357875,0.4589022153983023
4,3,-0.5094510506964033,2.538771658523994,0.198407196087208,0.1281681186862765,1.1261415497053677,-0.9955576633337007,-1.9186355086137696,0.7776318304106623,-0.2507918056391602
5,3,-1.3251676852028322,2.218723804348055,1.2127245063562961,2.7070957404075746,-1.5307908226735623,-0.6745757978325305,-0.6885522338699173,-1.03438816423225,-0.03813087091759575
6,2,-1.954426014461656,-0.7752783883604393,-1.7611584766760904,1.0044217152960306,0.4025835060660179,-1.577562375257686,-0.3872399707115756,-0.25492287987945506,-1.0043453713949984
7,3,-1.3652897490779368,1.940903876606318,0.5249962945798615,-2.4672185908123945,1.0926364080334865,-0.3878905792342348,0.41013357217109125,0.4062119742739669,-0.6682759616532282
8,3,0.10231411379290963,-0.4966265255420562,-1.7291778593541665,-0.6444181415813861,-1.3960839024057243,-0.6198974885928321,0.3112371889943558,0.07668631614473954,-0.0953289372956282
9,3,0.004858282732520095,0.31090993932901106,0.43274251330511937,-0.08898079467315684,1.6680335205966967,-0.16676196740289043,-1.1203264348726678,-0.40444111882571676,1.0684576726129995
10,1,6.996605803670521,-0.9942130764269096,1.625011453027788,-1.7263752343623286,-2.066534381119173,0.35031766564980954,-1.3760548295268797,0.17913343970961837,-0.6767398191984089
11,2,-0.5191076001557204,-0.28896882480941266,-1.2368899238724258,0.1351984006309483,0.8633428654390124,0.17656896624041057,0.17083094150634867,-0.6060453337911058,-0.8267876463658926
12,3,2.0924627027240343,-0.4165761085619098,-1.7991952611160615,1.2960274810493657,0.25571450691731284,0.13807474953083068,-0.22195446838657498,1.2234904582392794,-0.25711796291469813
13,3,1.358450732293528,1.4401037021889485,-0.42101660712521505,0.6944610156791244,0.5605820016248833,2.0097612732592736,0.13890787113833009,-0.8833513538336936,-0.174595443378422
14,3,0.2990322722534885,2.2044158877567437,1.7132104955593048,-0.6837100581620016,1.4263985283715188,0.0779730401143566,1.510744993670975,0.8904380662428211,-0.22388284320905785
15,3,2.4406103891398656,1.060578343214102,1.6632567507724667,2.58054693540697,-0.6988106459567464,1.1586453558421976,0.4750596287538291,1.371283358452725,-0.8864119224289302
16,3,2.1364228051788565,-1.081261404304618,-2.985604678137928,-0.1802828427370648,-0.4753442124264967,0.9783528394595175,-0.16203584932727863,0.7235527407349324,1.021534019881355
17,3,1.3401316288076062,2.213235322484577,-0.754665908005783,1.601751397339351,0.4184829303932964,-0.24820773680430366,0.5326489113265819,0.3082819037779434,0.8572066854633836
18,2,-0.20004320391629474,-1.8803892008216718,-0.6617408579156955,0.396195380529284,2.068366527256519,-0.042304811487551976,-0.9572471833976107,0.10203504302203344,-0.4777082206885493
19,2,-1.4958194388250088,0.5128493233831428,-0.15292293374140659,-0.6572682151347052,-0.3068097699280239,2.165575028323559,0.5507969984136012,-1.3832264220586332,-0.2418728114912698
20,2,-2.066517905989758,-1.6748843576701118,1.2572658886696397,-0.47633184318702226,0.12858708286543308,1.9539987231041251,0.28726963565709396,0.07389466647441208,0.7034998152199714
21,3,0.7964477241740407,1.6507556158742482,-2.699927660434299,-1.537293003446761,-0.7530229402846003,-0.35081453868226764,1.1986334412809438,-0.2716762103529885,-0.9900204157269411
22,2,-0.5063361522387655,-1.0190013748440023,-0.597491709007612,-0.23666433727890457,0.15419300830733298,0.2508669552448739,-0.2121881846380114,-0.7674580908275083,0.2037957711875424
23,2,-2.397745820493484,-1.3309335038609724,1.3364020226374558,-0.7952741508747795,0.009778854293354877,0.4099834578424212,-0.07889775971863135,1.2435825395069833,0.2858446845444452
24,2,-2.4146760085763916,-1.2318837694961857,1.5079873783260884,0.558610537041182,-0.992685361380503,0.01713716860220709,-0.12748130629599877,0.6082475273705618,0.6524327848688051
25,2,-0.11979662826187827,-1.8719907398978337,0.23012275890060951,-0.5491806985848922,-0.4981020125529728,0.9157197049953338,-0.1398628408259075,-0.32944810275843944,-0.001280530852020611
26,1,4.378540759221428,-3.3601271413999143,2.1305712721411667,1.0747699000902442,1.7674428139480243,-1.6181702783515075,0.7642649521769497,-1.4519748663829242,-0.06750366542807491
27,2,-4.799674254718553,-1.3358495905918049,0.18087567067360735,0.42620710323423194,-1.727531851437326,-0.32462405353223817,-0.9567438687685292,1.6083870777189634e-05,-0.6184022834809331
28,3,1.0782880402657504,-0.29497518918881926,-1.338618386308139,0.6949091019800404,-1.0779758611884742,-1.4585767594506052,1.0521495618902985,0.0501522654606726,1.5076665754477971
29,3,-0.09273231971254947,2.482704761444407,-0.6049359212908623,0.5180554048438486,0.8222382785319838,1.2522476869285122,-0.8425570102177229,-0.6859004358473143,0.4639973762413189
30,2,-2.1412035849224798,-1.5044114440548693,0.7226072271411723,1.6878269894401527,-0.24260859590603148,-0.2583108352918038,1.6421408561414657,0.28992474566376025,-0.46132067971661045
31,2,-0.6873645779985216,-2.79389549374211,-0.5886124002855204,-1.423677599968997,1.3397697062525922,-0.26427117769322356,-0.06364132904667703,0.6544152155777,0.10884583540455255
